es,var,study_id,factor_1,factor_2,factor_3
0.245396988514853,0.0146114305316878,6134,Randomized School, Cyberbullying, Public
-0.339322113395812,0.0261726357758859,4555,Randomized Class, Aggression/Bullying, Mixture
-0.0579188167806799,0.133866023005851,1310,Non-Randomized School, Cyberbullying, Mixture
0.0144574151670643,0.0714942810325709,1310,Non-Randomized School, Cyberbullying, Mixture
0.00664869873288291,1.48020290497696,1310,Non-Randomized School, Cyberbullying, Mixture
1.25890541146811,0.153211373462502,1310,Non-Randomized School, Cyberbullying, Mixture
0.263574297452283,0.119392012781107,1310,Non-Randomized School, Cyberbullying, Mixture
0.0929390963470676,0.0653151199916096,1310,Non-Randomized School, Cyberbullying, Mixture
0.720995903380318,0.897905694618928,1310,Non-Randomized School, Cyberbullying, Mixture
0.663770196064318,0.172255225037045,1310,Non-Randomized School, Cyberbullying, Mixture
-0.0987234947796334,0.0145610729355994,6134,Randomized School, Cyberbullying, Public
-0.137996088718511,0.014641293259477,6134,Randomized School, Cyberbullying, Public
-0.215525604390299,0.0145935596532008,6134,Randomized School, Cyberbullying, Public
-0.175981418222251,0.0146268800015392,6134,Randomized School, Cyberbullying, Public
0.279006994797223,0.0164950974121219,6134,Randomized School, Cyberbullying, Public
-0.48341011070271,0.0148831177418894,6134,Randomized School, Cyberbullying, Public
0.223217351350991,0.0918221873750878,6134,Randomized School, Aggression/Bullying, Public
-0.356268272541156,0.295720730162714,6134,Randomized School, Aggression/Bullying, Public
-0.287624333523163,0.165133478197464,6134,Randomized School, Cyberbullying, Public
-0.490125509040304,0.024554147376398,4555,Randomized Class, Aggression/Bullying, Mixture
-0.286190614525035,0.0189360846800125,4555,Randomized Class, Aggression/Bullying, Mixture
-0.558941123300135,0.0310465330883044,4555,Randomized Class, Cyberbullying, Mixture
-0.641519039542188,0.0303598273367545,4555,Randomized Class, Cyberbullying, Mixture
-0.287299015758721,0.0323319387770557,4555,Randomized Class, Internalizing, Mixture
-0.209674268360488,0.0524864155734423,1385,Randomized Class, Aggression/Bullying, Public
-0.290031022686583,0.0222199726391603,1385,Randomized Class, Aggression/Bullying, Public
0.00987448882115181,0.0721068835056518,1385,Randomized Class, Cyberbullying, Public
